Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,533,Aït-Nouri,4.4,4.4,Wolves,80,1.76,77,2.62,69,1.42,69,1.79,67,2.56,66,3.05,66,2.07,64,2.46,66,2.3,66,1.91,66,2.98,65,2.33,0,80,77,69,69,67,66,66,64,66,66,66,65,1.76,2.62,1.42,1.79,2.56,3.05,2.07,2.46,2.3,1.91,2.98,2.33,3.05,80,27.25,821,TRUE,D4.4,D4.5Wolves
D,559,N.Semedo,4.5,4.5,Wolves,88,1.53,83,2.41,82,1.33,81,1.71,80,2.6,77,2.94,75,1.94,75,2.47,73,2.12,73,1.74,71,2.8,75,2.24,0,88,83,82,81,80,77,75,75,73,73,71,75,1.53,2.41,1.33,1.71,2.6,2.94,1.94,2.47,2.12,1.74,2.8,2.24,2.94,88,25.83,933,TRUE,D4.5,D4.5Wolves
D,520,Emerson,4.4,4.4,West Ham,79,2.54,77,3.52,75,1.64,73,2.44,73,2.55,71,3.22,71,1.79,69,1.88,69,2.64,70,3.28,68,2.26,68,2.5,0,79,77,75,73,73,71,71,69,69,70,68,68,2.54,3.52,1.64,2.44,2.55,3.22,1.79,1.88,2.64,3.28,2.26,2.5,3.52,79,30.26,863,TRUE,D4.4,D4.5West Ham
D,524,Kilman,4.5,4.5,West Ham,90,2.46,87,3.37,86,1.43,83,2.28,82,2.44,80,3.11,80,1.62,79,1.82,78,2.5,78,3.07,78,2.13,77,2.4,0,90,87,86,83,82,80,80,79,78,78,78,77,2.46,3.37,1.43,2.28,2.44,3.11,1.62,1.82,2.5,3.07,2.13,2.4,3.37,90,28.63,978,TRUE,D4.5,D4.5West Ham
D,506,Van de Ven,4.5,4.5,Spurs,88,2.04,86,2.25,83,3,82,2.51,80,2.71,80,3.43,79,1.27,77,3.02,76,2.37,77,2.22,76,2.69,75,1.82,0.02,88,86,83,82,80,80,79,77,76,77,76,75,2.04,2.25,3,2.51,2.71,3.43,1.27,3.02,2.37,2.22,2.69,1.82,3.43,88,29.33,959,TRUE,D4.5,D4.5Spurs
D,474,Sugawara,4.5,4.5,Southampton,81,2.3,77,1.39,75,3.26,74,0.84,74,3.09,71,2.42,72,1.54,70,1.71,71,1.87,71,1.66,71,1.78,71,2.11,0,81,77,75,74,74,71,72,70,71,71,71,71,2.3,1.39,3.26,0.84,3.09,2.42,1.54,1.71,1.87,1.66,1.78,2.11,3.26,81,23.97,878,TRUE,D4.5,D4.5Southampton
D,436,Murillo,4.5,4.5,Nott'm Forest,90,3.16,86,1.78,85,2.95,82,2.67,82,2.81,81,2.2,80,1.31,81,3.23,81,0.99,81,1.64,81,2.46,82,2.23,0,90,86,85,82,82,81,80,81,81,81,81,82,3.16,1.78,2.95,2.67,2.81,2.2,1.31,3.23,0.99,1.64,2.46,2.23,3.23,90,27.43,992,TRUE,D4.5,D4.5Nott'm Forest
D,573,Milenković,4.5,4.5,Nott'm Forest,90,3.13,85,1.77,83,2.91,82,2.68,80,2.72,79,2.22,80,1.31,78,3.27,78,0.99,77,1.6,77,2.32,78,2.18,0,90,85,83,82,80,79,80,78,78,77,77,78,3.13,1.77,2.91,2.68,2.72,2.22,1.31,3.27,0.99,1.6,2.32,2.18,3.27,90,27.1,967,TRUE,D4.5,D4.5Nott'm Forest
D,395,Burn,4.5,4.5,Newcastle,86,1.78,82,2.9,78,2.66,76,1.65,76,1.97,73,2.38,71,2.64,71,2.23,71,1.73,70,2.22,71,3.02,71,2.6,0.01,86,82,78,76,76,73,71,71,71,70,71,71,1.78,2.9,2.66,1.65,1.97,2.38,2.64,2.23,1.73,2.22,3.02,2.6,3.02,86,27.78,896,TRUE,D4.5,D4.5Newcastle
D,380,Martinez,4.5,4.5,Man Utd,86,2.46,82,2.34,79,3.14,75,2.32,73,2.22,71,3.15,71,2.7,69,2.99,69,1.41,68,2.83,72,1.17,72,2.79,0,86,82,79,75,73,71,71,69,69,68,72,72,2.46,2.34,3.14,2.32,2.22,3.15,2.7,2.99,1.41,2.83,1.17,2.79,3.15,86,29.52,887,TRUE,D4.5,D4.5Man Utd
