Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
F,589,Füllkrug,6.7,6.7,West Ham,22,1.19,43,2.31,43,2.84,44,2.34,41,1.99,43,2.55,43,2.89,41,2.28,42,2.51,42,2.61,41,2.09,0,22,40,43,43,44,41,43,43,41,42,42,41,1.19,2.36,2.31,2.84,2.34,1.99,2.55,2.89,2.28,2.51,2.61,2.09,2.89,44,27.96,485,TRUE,F6.7,F6.5West Ham
F,541,Cunha,6.5,6.5,Wolves,79,3.17,76,3.87,73,4.45,74,3.21,74,3.96,72,3.44,72,3.25,68,3.83,70,3.43,69,3.45,67,2.85,0,79,76,76,73,74,74,72,72,68,70,69,67,3.17,3.36,3.87,4.45,3.21,3.96,3.44,3.25,3.83,3.43,3.45,2.85,4.45,79,42.27,870,TRUE,F6.5,F6.5Wolves
F,617,Evanilson,5.9,5.9,Bournemouth,68,3.04,64,2.88,64,3.35,64,3.68,66,3.61,63,3.43,64,3.59,63,3.81,60,2.99,61,3.42,62,3.01,0.01,68,67,64,64,64,66,63,64,63,60,61,62,3.04,3.08,2.88,3.35,3.68,3.61,3.43,3.59,3.81,2.99,3.42,3.01,3.81,68,39.89,766,TRUE,F5.9,F6Bournemouth
F,110,Wissa,5.9,5.9,Brentford,0,0,0,0,0,0,27,1.38,58,3.4,67,2.95,65,3.32,67,2.82,66,3.42,64,2.86,59,2.46,0,0,0,0,0,27,58,67,65,67,66,64,59,0,0,0,0,1.38,3.4,2.95,3.32,2.82,3.42,2.86,2.46,3.42,67,22.61,473,TRUE,F5.9,F6Brentford
F,148,Welbeck,5.8,5.8,Brighton,74,3.75,58,2.44,58,2.5,56,2.88,57,3.85,57,2.69,56,3.01,54,3.03,53,2.75,55,3.27,53,2.58,0.01,74,64,58,58,56,57,57,56,54,53,55,53,3.75,3.97,2.44,2.5,2.88,3.85,2.69,3.01,3.03,2.75,3.27,2.58,3.97,74,36.72,695,TRUE,F5.8,F6Brighton
F,11,Nketiah,5.9,5.9,Crystal Palace,76,3.16,72,3.31,71,3.35,69,2.96,70,3.37,70,3.28,67,2.58,67,2.86,68,2.63,67,2.99,67,3.86,0,76,73,72,71,69,70,70,67,67,68,67,67,3.16,3.27,3.31,3.35,2.96,3.37,3.28,2.58,2.86,2.63,2.99,3.86,3.86,76,37.62,837,TRUE,F5.9,F6Crystal Palace
F,220,Calvert-Lewin,6,6,Everton,81,4.24,75,4.16,72,3.48,71,4.07,69,3.22,67,4.03,66,3.07,67,2.5,66,3.39,65,2.41,67,3.65,0.58,81,76,75,72,71,69,67,66,67,66,65,67,4.24,4.11,4.16,3.48,4.07,3.22,4.03,3.07,2.5,3.39,2.41,3.65,4.24,81,42.33,842,TRUE,F6,F6Everton
F,251,Muniz,5.8,5.8,Fulham,36,2.19,39,2.4,40,2.05,41,2.68,41,2.08,42,2.46,41,1.97,42,1.89,40,2.78,41,1.99,41,2.57,0,36,39,39,40,41,41,42,41,42,40,41,41,2.19,2.1,2.4,2.05,2.68,2.08,2.46,1.97,1.89,2.78,1.99,2.57,2.78,42,27.16,483,TRUE,F5.8,F6Fulham
F,447,Wood,6.2,6.2,Nott'm Forest,84,4.25,78,4.08,76,3.93,77,2.79,77,4.36,77,2.78,77,3.41,74,3.81,74,3.55,74,3.65,75,3.61,0.18,84,81,78,76,77,77,77,77,74,74,74,75,4.25,4.03,4.08,3.93,2.79,4.36,2.78,3.41,3.81,3.55,3.65,3.61,4.36,84,44.25,924,TRUE,F6.2,F6Nott'm Forest
F,207,Mateta,7.4,7.4,Crystal Palace,69,3.19,67,3.35,67,3.52,68,3.12,67,3.57,68,3.45,67,2.81,67,3.09,64,2.69,66,3.25,65,4.21,0,69,69,67,67,68,67,68,67,67,64,66,65,3.19,3.38,3.35,3.52,3.12,3.57,3.45,2.81,3.09,2.69,3.25,4.21,4.21,69,39.63,804,TRUE,F7.4,F7.5Crystal Palace
