Pos,ID,Name,BV,SV,Team,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
M,230,McNeil,5.7,5.7,Everton,87,3.66,84,3.29,82,3.77,80,2.98,80,3.79,80,2.94,79,2.49,79,3.19,79,2.43,80,3.5,79,3.01,0.04,89,87,84,82,80,80,80,79,79,79,80,79,3.8,3.66,3.29,3.77,2.98,3.79,2.94,2.49,3.19,2.43,3.5,3.01,3.8,89,38.85,978,TRUE,M5.7,M5.5Everton
M,240,Andreas,5.3,5.3,Fulham,75,3.76,74,3.19,71,3.87,69,2.74,68,3.33,70,2.8,65,2.39,65,3.74,67,2.69,65,3.26,65,3.63,0.01,76,75,74,71,69,68,70,65,65,67,65,65,3.49,3.76,3.19,3.87,2.74,3.33,2.8,2.39,3.74,2.69,3.26,3.63,3.87,76,38.89,830,TRUE,M5.3,M5.5Fulham
M,247,Iwobi,5.5,5.5,Fulham,82,3.64,81,3.15,79,3.78,76,2.75,76,3.3,78,2.8,74,2.49,75,3.75,77,2.77,77,3.4,74,3.71,0,83,82,81,79,76,76,78,74,75,77,77,74,3.45,3.64,3.15,3.78,2.75,3.3,2.8,2.49,3.75,2.77,3.4,3.71,3.78,83,38.99,932,TRUE,M5.5,M5.5Fulham
M,274,Hutchinson,5.3,5.3,Ipswich,79,3.6,75,2.54,73,2.98,73,2.75,72,3.02,73,3.04,71,2.77,72,2.88,71,2.18,73,2.81,70,2.54,0,81,79,75,73,73,72,73,71,72,71,73,70,3.07,3.6,2.54,2.98,2.75,3.02,3.04,2.77,2.88,2.18,2.81,2.54,3.6,81,34.18,883,TRUE,M5.3,M5.5Ipswich
M,298,Mavididi,5.3,5.3,Leicester,61,3.03,60,2.62,60,2.77,60,2.78,61,3.17,62,3.11,59,2.53,59,3.28,56,2.13,57,2.27,58,2.48,0.01,64,61,60,60,60,61,62,59,59,56,57,58,3.24,3.03,2.62,2.77,2.78,3.17,3.11,2.53,3.28,2.13,2.27,2.48,3.28,64,33.41,717,TRUE,M5.3,M5.5Leicester
M,354,Kovačić,5.6,5.6,Man City,60,2.25,58,2.14,57,2.15,55,1.82,57,2.37,56,2.13,53,2.15,54,2.01,52,2.25,53,2.14,53,2.22,0,65,60,58,57,55,57,56,53,54,52,53,53,2.83,2.25,2.14,2.15,1.82,2.37,2.13,2.15,2.01,2.25,2.14,2.22,2.83,65,26.46,673,TRUE,M5.6,M5.5Man City
M,370,Eriksen,5.4,5.4,Man Utd,54,2.5,42,2.44,40,2.06,41,2.26,37,1.48,39,2.08,39,1.52,40,2.1,42,2.07,41,2.06,42,1.65,0,71,54,42,40,41,37,39,39,40,42,41,42,3.09,2.5,2.44,2.06,2.26,1.48,2.08,1.52,2.1,2.07,2.06,1.65,3.09,71,25.31,528,TRUE,M5.4,M5.5Man Utd
M,434,Hudson-Odoi,5.4,5.4,Nott'm Forest,63,2.94,58,2.6,56,2.02,57,2.93,56,1.98,56,2.27,55,2.53,55,2.4,55,2.38,55,2.45,53,2.36,0,67,63,58,56,57,56,56,55,55,55,55,53,3,2.94,2.6,2.02,2.93,1.98,2.27,2.53,2.4,2.38,2.45,2.36,3,67,29.86,686,TRUE,M5.4,M5.5Nott'm Forest
M,612,Odobert,5.3,5.3,Spurs,26,1.47,38,2.54,37,1.6,37,2.22,36,1.98,37,2.13,39,2.36,39,2.01,37,1.98,39,2.55,36,2.1,0,11,26,38,37,37,36,37,39,39,37,39,36,0.66,1.47,2.54,1.6,2.22,1.98,2.13,2.36,2.01,1.98,2.55,2.1,2.55,39,23.6,412,TRUE,M5.3,M5.5Spurs
M,587,Summerville,5.7,5.7,West Ham,51,2.51,52,3.11,52,2.38,37,1.72,35,1.95,37,2.29,37,1.85,36,2.05,37,2.11,37,1.74,39,1.58,0,50,51,52,52,37,35,37,37,36,37,37,39,2.71,2.51,3.11,2.38,1.72,1.95,2.29,1.85,2.05,2.11,1.74,1.58,3.11,52,26,500,TRUE,M5.7,M5.5West Ham
