Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
F,307,Saint-Maximin,6.8,6.8,Newcastle,80,2.54,76,2.91,74,3.10
M,308,Almirón,5.0,5.0,Newcastle,62,2.12,49,2.11,43,1.98
M,309,S.Longstaff,4.3,4.3,Newcastle,8,0.31,6,0.23,5,0.20
F,310,Joelinton,5.8,5.8,Newcastle,70,1.99,67,2.07,66,2.12
D,311,Lewis,4.2,4.2,Newcastle,0,0.00,0,0.00,0,0.00
M,312,M.Longstaff,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00
G,313,McGovern,3.9,3.9,Norwich,0,0.01,0,0.00,0,0.00
G,314,Krul,4.5,4.5,Norwich,89,6.50,88,3.27,87,3.08
F,315,Pukki,6.1,5.9,Norwich,87,7.88,83,3.46,79,3.32
M,316,Stiepermann,5.0,5.0,Norwich,0,0.00,0,0.00,0,0.00
M,317,Rupp,4.4,4.4,Norwich,0,0.02,0,0.00,0,0.01
M,318,McLean,4.9,4.9,Norwich,64,3.81,73,2.12,69,1.97
D,319,Hanley,4.4,4.4,Norwich,87,4.14,83,2.08,78,1.43
M,320,Hernández,4.9,4.9,Norwich,0,0.00,0,0.00,0,0.00
D,321,Byram,4.4,4.4,Norwich,61,3.12,53,1.44,43,0.93
F,322,Hugill,5.4,5.4,Norwich,0,0.00,0,0.00,0,0.00
M,323,Dowell,5.1,5.1,Norwich,69,5.64,63,2.49,56,2.22
D,324,Zimmermann,4.4,4.4,Norwich,17,0.92,23,0.65,32,0.73
M,325,Cantwell,5.3,5.3,Norwich,0,0.00,0,0.00,0,0.00
D,326,Aarons,4.3,4.3,Norwich,68,3.42,64,1.68,67,1.30
D,327,Sørensen,4.3,4.3,Norwich,8,0.52,9,0.31,13,0.36
M,328,Placheta,4.7,4.7,Norwich,1,0.24,2,0.16,4,0.25
F,329,Idah,4.8,4.8,Norwich,0,0.00,0,0.00,0,0.00
M,330,Martin,5.0,5.0,Norwich,0,0.00,0,0.00,0,0.00
D,331,Omobamidele,3.9,3.9,Norwich,0,0.00,0,0.00,0,0.00
M,332,Walcott,5.8,5.8,Southampton,3,0.24,5,0.33,3,0.26
G,333,Forster,4.4,4.4,Southampton,87,3.38,83,2.92,69,2.66
G,334,McCarthy,4.3,4.3,Southampton,0,0.00,6,0.22,19,0.74
M,335,Romeu,4.5,4.5,Southampton,82,2.29,75,1.91,73,2.12
M,336,Redmond,5.9,5.9,Southampton,40,1.83,42,1.65,39,1.80
F,337,Ings,7.7,7.7,Aston Villa,60,6.14,51,6.21,49,1.96
D,338,Stephens,4.4,4.4,Southampton,9,0.25,11,0.23,16,0.51
M,339,S.Armstrong,5.8,5.8,Southampton,58,2.37,53,1.90,57,2.39
D,340,Vestergaard,4.7,4.7,Leicester,15,1.24,18,1.06,16,0.59
M,341,Ward-Prowse,6.5,6.5,Southampton,88,3.68,85,2.93,81,3.57
D,342,Walker-Peters,4.8,4.8,Southampton,82,2.61,81,1.46,78,2.52
D,343,Bednarek,4.4,4.4,Southampton,83,2.44,79,1.37,78,2.29
F,344,Nlundulu,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00
F,345,Adams,6.6,6.6,Southampton,67,3.12,66,2.61,66,3.21
M,346,Tella,4.7,4.7,Southampton,31,1.44,31,1.27,33,1.53
M,347,Smallbone,4.5,4.5,Southampton,0,0.01,0,0.03,1,0.11
F,348,Obafemi,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00
M,349,Diallo,4.5,4.5,Southampton,11,0.43,19,0.65,23,0.83
